"Countries","EU","BE","FR","DE","IT","NL","PT","ES","UK"
"BR",1.3,0.11,0.26,0.12,0.06,0.11,0.14,0.19,0.29
"CM",1.7,0.08,0.28,0.09,0.46,0.16,0.17,0.33,0.06
"ID",2.7,0.79,0.16,0.54,0.22,0.29,-999,-999,0.74
"MY",1.5,0.32,0.1,0.12,0.06,0.42,-999,-999,0.47
"CF",0.1,-999,0.01,0.01,-999,-999,0.01,0.05,-999
"CD",0.2,0.01,0.06,0.02,0.02,0.01,0.07,0.03,-999
"CG",0.1,-999,0.02,0.01,-999,-999,0.04,-999,-999
"GQ",0.2,-999,0.06,0.01,-999,-999,-999,0.02,0.06
"GA",0.9,0.01,0.56,0.02,0.09,0.04,0.1,0.03,-999
"GH",0.4,0.02,0.07,0.14,0.07,0.01,0.01,0.03,0.04
"CI",1,0.03,0.09,0.05,0.34,0.03,0.03,0.3,0.02
"LR",0.1,-999,0.07,-999,0.04,-999,0.01,-999,-999
"NG",0.1,-999,-999,-999,0.06,-999,-999,-999,-999
